Title,URL,Snippet,Date Published,Content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iraq War | Summary, Causes, Dates, Combatants, Casualties, & Facts ...",https://www.britannica.com/event/Iraq-War,"Iraq War, (2003–11), conflict in Iraq that consisted of two phases. The first of these was a brief, conventionally fought war in March–April 2003, in which a combined force of troops from the United States and Great Britain (with smaller contingents from several other countries) invaded Iraq and rapidly defeated Iraqi military and paramilitary forces.",2024-08-09T00:00:00.0000000,"Our editors will review what you’ve submitted and determine whether to revise the article. Our editors will review what you’ve submitted and determine whether to revise the article. U.S. President George W. Bush argued that the vulnerability of the United States following the September 11 attacks of 2001, combined with Iraq’s alleged continued possession and manufacture of weapons of mass destruction and its support for terrorist groups, including al-Qaeda, justified the U.S.'s war with Iraq. The Iraq War, also called the Second Persian Gulf War, began on March 20, 2003. U.S. President George W. Bush argued for launching a military attack on Iraq. On March 17, 2003, Bush declared an end to diplomacy and issued an ultimatum to Saddam Hussein, giving the Iraqi president 48 hours to leave Iraq. Saddam refused, and the U.S. attacked on March 20. The U.S. military formally declared the end of the Iraq War in a ceremony in Baghdad on December 15, 2011, as U.S. troops prepared to withdraw from the country. Iraq War,  (2003–11), conflict in Iraq that consisted of two phases. The first of these was a brief, conventionally fought war in March–April 2003, in which a combined force of troops from the United States and Great Britain (with smaller contingents from several other countries) invaded Iraq and rapidly defeated Iraqi military and paramilitary forces. It was followed by a longer second phase in which a U.S.-led occupation of Iraq was opposed by an insurgency. After violence began to decline in 2007, the United States gradually reduced its military presence in Iraq, formally completing its withdrawal in December 2011. American military casualties in the conflict included some 4,500 service members killed and some 32,000 others wounded. (Read Britannica’s interview with Jimmy Carter on the Iraq War and world affairs.) Iraq’s invasion of Kuwait in 1990 ended in Iraq’s defeat by a U.S.-led coalition in the Persian Gulf War (1990–91). However, the Iraqi branch of the Baʿath Party, headed by Saddam Hussein, managed to retain power by harshly suppressing uprisings of the country’s minority Kurds and its majority Shiʿi Arabs. To stem the exodus of Kurds from Iraq, the allies established a “safe haven” in northern Iraq’s predominantly Kurdish regions, and allied warplanes patrolled “no-fly” zones in northern and southern Iraq that were off-limits to Iraqi aircraft. Moreover, to restrain future Iraqi aggression, the United Nations (UN) implemented economic sanctions against Iraq in order to, among other things, hinder the progress of its most lethal arms programs, including those for the development of nuclear, biological, and chemical weapons. (See weapon of mass destruction.) UN inspections during the mid-1990s uncovered a variety of proscribed weapons and prohibited technology throughout Iraq. That country’s continued flouting of the UN weapons ban and its repeated interference with the inspections frustrated the international community and led U.S. Pres. Bill Clinton in 1998 to order the bombing of several Iraqi military installations (code-named Operation Desert Fox). After the bombing, however, Iraq refused to allow inspectors to reenter the country, and during the next several years the economic sanctions slowly began to erode as neighboring countries sought to reopen trade with Iraq. In 2002 the new U.S. president, George W. Bush, argued that the vulnerability of the United States following the September 11 attacks of 2001, combined with Iraq’s alleged continued possession and manufacture of weapons of mass destruction (an accusation that was later proved erroneous) and its support for terrorist groups—which, according to the Bush administration, included al-Qaeda, the perpetrators of the September 11 attacks—made disarming Iraq a renewed priority. UN Security Council Resolution 1441, passed on November 8, 2002, demanded that Iraq readmit inspectors and that it comply with all previous resolutions. Iraq appeared to comply with the resolution, but in early 2003 President Bush and British Prime Minister Tony Blair declared that Iraq was actually continuing to hinder UN inspections and that it still retained proscribed weapons. Other world leaders, such as French Pres. Jacques Chirac and German Chancellor Gerhard Schröder, citing what they believed to be increased Iraqi cooperation, sought to extend inspections and give Iraq more time to comply with them. However, on March 17, seeking no further UN resolutions and deeming further diplomatic efforts by the Security Council futile, Bush declared an end to diplomacy and issued an ultimatum to Saddam, giving the Iraqi president 48 hours to leave Iraq. The leaders of France, Germany, Russia, and other countries objected to this buildup toward war. When Saddam refused to leave Iraq, U.S. and allied forces launched an attack on the morning of March 20; it began when U.S. aircraft dropped several precision-guided bombs on a bunker complex in which the Iraqi president was believed to be meeting with senior staff. This was followed by a series of air strikes directed against government and military installations, and within days U.S. forces had invaded Iraq from Kuwait in the south (U.S. Special Forces had previously been deployed to Kurdish-controlled areas in the north). Despite fears that Iraqi forces would engage in a scorched-earth policy—destroying bridges and dams and setting fire to Iraq’s southern oil wells—little damage was done by retreating Iraqi forces; in fact, large numbers of Iraqi troops simply chose not to resist the advance of coalition forces. In southern Iraq the greatest resistance to U.S. forces as they advanced northward was from irregular groups of Baʿath Party supporters, known as Saddam’s Fedayeen. British forces—which had deployed around the southern city of Basra—faced similar resistance from paramilitary and irregular fighters. In central Iraq units of the Republican Guard—a heavily armed paramilitary group connected with the ruling party—were deployed to defend the capital of Baghdad. As U.S. Army and Marine forces advanced northwestward up the Tigris-Euphrates river valley, they bypassed many populated areas where Fedayeen resistance was strongest and were slowed only on March 25 when inclement weather and an extended supply line briefly forced them to halt their advance within 60 miles (95 km) of Baghdad. During the pause, U.S. aircraft inflicted heavy damage on Republican Guard units around the capital. U.S. forces resumed their advance within a week, and on April 4 they took control of Baghdad’s international airport. Iraqi resistance, though at times vigorous, was highly disorganized, and over the next several days army and Marine Corps units staged raids into the heart of the city. On April 9 resistance in Baghdad collapsed, and U.S. soldiers took control of the city. On that same day Basra was finally secured by British forces, which had entered the city several days earlier. In the north, however, plans to open up another major front had been frustrated when the Turkish government refused to allow mechanized and armored U.S. Army units to pass through Turkey to deploy in northern Iraq. Regardless, a regiment of American paratroopers did drop into the area, and U.S. Special Forces soldiers joined with Kurdish peshmerga fighters to seize the northern cities of Kirkuk on April 10 and Mosul on April 11. Saddam’s hometown of Tikrīt, the last major stronghold of the regime, fell with little resistance on April 13. Isolated groups of regime loyalists continued to fight on subsequent days, but the U.S. president declared an end to major combat on May 1. Iraqi leaders fled into hiding and were the object of an intense search by U.S. forces. Saddam Hussein was captured on December 13, 2003, five months after his two sons, Uday and Qusay Hussein, who were central figures in their father’s brutal 24-year rule, had been killed in a shoot-out with American troops after the brothers had been found hiding in a private residence. Saddam was subsequently convicted of crimes against humanity and was executed on December 30, 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Troops in Iraq Are Wounded in Rocket Attack on Air Base,https://www.nytimes.com/2024/08/05/world/middleeast/iraq-us-troops-iran-attack.html,"Aug. 5, 2024. A rocket attack targeting U.S. personnel housed at a base in Iraq’s western desert injured several American troops late on Monday, according to U.S. defense officials. The attack ...",2024-08-05T00:00:00.0000000,Please enable JS and disable any ad blocker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf War - Wikipedia,https://en.wikipedia.org/wiki/Gulf_War,"t. e. The Gulf War was an armed conflict between Iraq and a 42-country coalition led by the United States. The coalition's efforts against Iraq were carried out in two key phases: Operation Desert Shield, which marked the military buildup from August 1990 to January 1991; and Operation Desert Storm, which began with the aerial bombing campaign ...",2024-08-15T00:00:00.0000000,"
 Coalition:292 killed (147 killed by enemy action, 145 non-hostile deaths)776 wounded[5] (467 wounded in action)31 tanks destroyed/disabled[6][7][8][9][10][11][12][13]28 Bradley IFVs destroyed/damaged[14][15]1 M113 APC destroyed2 British Warrior APCs destroyed1 artillery piece destroyed75 aircraft destroyed[citation needed]Kuwait:420 killed
12,000 captured
≈200 tanks destroyed/captured
850+ other armored vehicles destroyed/captured
57 aircraft lost
 According to the Project on Defense Alternatives study, between 20,000 and 26,000 Iraqi military personnel were killed in the conflict while 75,000 others were wounded.[259],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 According to Kanan Makiya," """"For the Iraqi people"," the cost of enforcing the will of the United Nations has been grotesque.""""[269] General Schwarzkopf talked about """"a very", very large number of dead in these units, a very," very large number indeed.""""[270] The chairman of the House Armed Services Committee", Les Aspin," estimated that """"at least 65","000 Iraqi soldiers were killed"""".[270] A figure was supported by Israeli sources who speak of """"one to two hundred thousand Iraqi casualties."""" Most of the killing """"took place during the ground war. Fleeing soldiers were bombed with a device known as a 'fuel-air explosive.'""""[270]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The US Department of Defense reports that US forces suffered 148 battle-related deaths (35 to friendly fire[284]), with one pilot listed as MIA (his remains were found and identified in August 2009). A further 145 Americans died in non-combat accidents.[271] The UK suffered 47 deaths (nine to friendly fire, all by US forces), France nine,[271] and the other countries, not including Kuwait, suffered 37 deaths (18 Saudis, one Egyptian, six UAE and three Qataris).[271] At least 605 Kuwaiti soldiers were still missing 10 years after their capture.[285],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The largest single loss of life among coalition forces happened on 25 February 1991, when an Iraqi Al Hussein missile hit a US military barrack in Dhahran, Saudi Arabia, killing 28 US Army Reservists from Pennsylvania. In all, 190 coalition troops were killed by Iraqi fire during the war, 113 of whom were American, out of 358 coalition deaths. Another 44 soldiers were killed and 57 wounded by friendly fire. 145 soldiers died of exploding munitions or non-combat accidents.[286],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The largest accident among coalition forces happened on 21 March 1991, when a Royal Saudi Air Force C-130H crashed in heavy smoke on approach to Ras Al-Mishab Airport, Saudi Arabia. 92 Senegalese soldiers and six Saudi crew members were killed.[275],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The number of coalition wounded in combat was 776, including 458 Americans.[287],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 190 coalition troops were killed by Iraqi combatants, the rest of the 379 coalition deaths were from friendly fire or accidents. This number was much lower than expected. Among the American combat dead were four female soldiers.[288],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 While the death toll among coalition forces engaging Iraqi combatants was very low, a substantial number of deaths were caused by accidental attacks from other Allied units. Of the 148 US troops who died in battle, 24% were killed by friendly fire, a total of 35 service personnel.[289] A further 11 died in detonations of coalition munitions. Nine British military personnel were killed in a friendly fire incident when a USAF A-10 Thunderbolt II destroyed a group of two Warrior IFVs.[citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Many returning coalition soldiers reported illnesses following their action in the war, a phenomenon known as Gulf War syndrome (GWS) or Gulf War illness (GWI). Common symptoms reported are chronic fatigue, fibromyalgia, and gastrointestinal disorder.[290] There has been widespread speculation and disagreement about the causes of the illness and the possibly related birth defects. Researchers found that infants born to male veterans of the 1991 war had higher rates of two types of heart valve defects. Some children born after the war to Gulf War veterans had a certain kidney defect that was not found in Gulf War veterans' children born before the war. Researchers have said that they did not have enough information to link birth defects with exposure to toxic substances.[291],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 In 1994, the US Senate Committee on Banking, Housing, and Urban Affairs with Respect to Export Administration published a report entitled," """"U.S. Chemical and Biological Warfare-Related Dual Use Exports to Iraq and their Possible Impact on the Health Consequences of the Gulf War"""". This publication", called the Riegle Report, summarized testimony this committee had received establishing that the U.S. had in the 1980s supplied Saddam Hussein with chemical and biological warfare technology, that Saddam had used such chemical weapons against Iran and his own native Kurds, and possibly against U.S. soldiers as well, plausibly contributing to the GWS.[citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 A 2022 study by Dr. Robert W. Haley of the University of Texas Southwestern Medical Center, et al., of 1,016 U.S. Gulf War veterans found evidence of a causal link between GWS and exposure to low levels of the nerve agent sarin, which was released into the air by coalition bombing of Iraqi chemical weapons facilities. Significantly, the study found an increased incidence of GWS not only among veterans who recounted hearing nerve agent alarms, but also among veterans with the RR or QR (as opposed to the QQ) forms of the PON1 gene, which produces an enzyme that deactivates organophosphates (including sarin) through hydrolysis. By contrast, GWS was inversely associated with higher levels of the type Q isozyme," which is more efficient at breaking down sarin than its type R counterpart. The authors """"found that the PON1 genotype and hearing nerve agent alarms were independent and the findings robust to both measured and unmeasured confounding", supporting a mechanistic [gene–environment] interaction. ... Moreover," the change in the combined effect from one category to the next was significantly greater than the sum of the independent effects of the environmental exposure and the genotype"""".[292]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The US military used depleted uranium in tank kinetic energy penetrators and 20–30 mm (0.79–1.18 in) cannon ordnance. Significant controversy regarding the long term safety of depleted uranium exists, including claims of pyrophoric, genotoxic, and teratogenic heavy metal effects. Many have cited its use during the war as a contributing factor to a number of major health issues in veterans and in surrounding civilian populations, including in birth defects and child cancer rates. Scientific opinion on the risk is mixed.[293][294][295] In 2004, Iraq had the highest mortality rate due to leukemia of any country.[296][297][298][299],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Depleted uranium has 40% less radioactivity than natural uranium, but the negative effects should not be overlooked.[300] Depleted uranium is not a significant health hazard unless it is taken into the body. External exposure to radiation from depleted uranium is generally not a major concern because the alpha particles emitted by its isotopes travel only a few centimeters in air or can be stopped by a sheet of paper. Also, the uranium-235 that remains in depleted uranium emits only a small amount of low-energy gamma radiation. However, if allowed to enter the body, depleted uranium, like natural uranium, has the potential for both chemical and radiological toxicity with the two important target organs being the kidneys and the lungs.[301],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 In the night of 26–27 February 1991, some Iraqi forces began leaving Kuwait on the main highway north of Al Jahra in a column of some 1,400 vehicles. A patrolling E-8 Joint STARS aircraft observed the retreating forces and relayed the information to the DDM-8 air operations center in Riyadh, Saudi Arabia.[citation needed] These vehicles and the retreating soldiers were subsequently attacked by two A-10 aircraft, resulting in a 60 kilometres (37 mi) stretch of highway strewn with debris—the Highway of Death. New York Times reporter Maureen Dowd wrote," """"With the Iraqi leader facing military defeat"," Mr. Bush decided that he would rather gamble on a violent and potentially unpopular ground war than risk the alternative: an imperfect settlement hammered out by the Soviets and Iraqis that world opinion might accept as tolerable.""""[302]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Chuck Horner, Commander of US and allied air operations, has written:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [By February 26], the Iraqis totally lost heart and started to evacuate occupied Kuwait," but airpower halted the caravan of Iraqi Army and plunderers fleeing toward Basra. This event was later called by the media """"The Highway of Death."""" There were certainly a lot of dead vehicles", but not so many dead Iraqis. They'd already learned to scamper off into the desert when our aircraft started to attack. Nevertheless, some people back home wrongly chose to believe we were cruelly and unusually punishing our already whipped foes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By February 27," talk had turned toward terminating the hostilities. Kuwait was free. We were not interested in governing Iraq. So the question became """"How do we stop the killing.""""[303] Another incident during the war highlighted the question of large-scale Iraqi combat deaths. This was the """"bulldozer assault""""", wherein two brigades from the US 1st Infantry Division (Mechanized) were faced with a large and complex trench network," as part of the heavily fortified """"Saddam Hussein Line"""". After some deliberation", they opted to use anti-mine plows mounted on tanks and combat earthmovers to simply plow over and bury alive the defending Iraqi soldiers. Not a single American was killed during the attack. Reporters were banned from witnessing the attack, near the neutral zone that touches the border between Saudi Arabia and Iraq.[304] Every American in the assault was inside an armored vehicle.[304],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Patrick Day Sloyan of Newsday reported," """"Bradley Fighting Vehicles and Vulcan armored carriers straddled the trench lines and fired into the Iraqi soldiers as the tanks covered them with mounds of sand. 'I came through right after the lead company","' [Col. Anthony] Moreno said. 'What you saw was a bunch of buried trenches with peoples' arms and things sticking out of them.'""""[305] However", after the war, the Iraqi government said that only 44 bodies were found.[306] In his book The Wars Against Saddam, John Simpson alleges that US forces attempted to cover up the incident.[307] After the incident," the commander of the 1st Brigade said: """"I know burying people like that sounds pretty nasty"," but it would be even nastier if we had to put our troops in the trenches and clean them out with bayonets.""""[305] Secretary of Defense Dick Cheney did not mention the First Division's tactics in an interim report to Congress on Operation Desert Storm.[304] In the report", Cheney acknowledged that 457 enemy soldiers were buried during the ground war.[304],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 A Palestinian exodus from Kuwait took place during and after the Gulf War. During the Gulf War, more than 200,000 Palestinians fled Kuwait during the Iraqi occupation of Kuwait due to harassment and intimidation by Iraqi security forces,[308] in addition to getting fired from work by Iraqi authority figures in Kuwait.[308] After the Gulf War, the Kuwaiti authorities forcibly pressured nearly 200,000 Palestinians to leave Kuwait in 1991.[308] Kuwait's policy, which led to this exodus, was a response to alignment of Palestinian leader Yasser Arafat and the PLO with Saddam Hussein.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The Palestinians who fled Kuwait were Jordanian citizens.[309] In 2013,280,000 Jordanian citizens of Palestinian origin lived in Kuwait.[310] In 2012,80,000 Palestinians (without Jordanian citizenship) lived in Kuwait.[311],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Saudi Arabia expelled Yemeni workers after Yemen supported Saddam during the Gulf War.[312],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 In the 23 June 1991 edition of The Washington Post, reporter Bart Gellman wrote: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Many of the targets were chosen only secondarily to contribute to the military defeat of Iraq ... Military planners hoped the bombing would amplify the economic and psychological impact of international sanctions on Iraqi society ... They deliberately did great harm to Iraq's ability to support itself as an industrial society ...[313] In the Jan/Feb 1995 edition of Foreign Affairs, French diplomat Eric Rouleau wrote: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [T]he Iraqi people, who were not consulted about the invasion, have paid the price for their government's madness ... Iraqis understood the legitimacy of a military action to drive their army from Kuwait, but they have had difficulty comprehending the Allied rationale for using air power to systematically destroy or cripple Iraqi infrastructure and industry: electric power stations (92 percent of installed capacity destroyed), refineries (80 percent of production capacity), petrochemical complexes, telecommunications centers (including 135 telephone networks), bridges (more than 100), roads, highways, railroads, hundreds of locomotives and boxcars full of goods, radio and television broadcasting stations, cement plants, and factories producing aluminum, textiles, electric cables, and medical supplies.[314] However, the UN subsequently spent billions rebuilding hospitals, schools, and water purification facilities throughout the country.[315],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 During the conflict, coalition aircrew shot down over Iraq were displayed as prisoners of war on TV, most with visible signs of abuse. Amongst several testimonies to poor treatment,[316] USAF Captain Richard Storr was allegedly tortured by Iraqis during the Persian Gulf War. Iraqi secret police broke his nose, dislocated his shoulder and punctured his eardrum.[317] Royal Air Force Tornado crew John Nichol and John Peters have both alleged that they were tortured during this time.[318][319] Nichol and Peters were forced to make statements against the war on television. Members of British Special Air Service Bravo Two Zero were captured while providing information about an Iraqi supply line of Scud missiles to coalition forces. Only one, Chris Ryan, evaded capture while the group's other surviving members were violently tortured.[320] Flight surgeon (later General) Rhonda Cornum was sexually assaulted by one of her captors[321] after the Black Hawk helicopter in which she was riding was shot down while searching for a downed F-16 pilot.[citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Since the war, the US has had a continued presence of 5,000 troops stationed in Saudi Arabia – a figure that rose to 10,000 during the 2003 conflict in Iraq.[322] Operation Southern Watch enforced the no-fly zones over southern Iraq set up after 1991; oil exports through the Persian Gulf's shipping lanes were protected by the Bahrain-based US Fifth Fleet.[citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Since Saudi Arabia houses Mecca and Medina, Islam's holiest sites, many Muslims were upset at the permanent military presence. The continued presence of U.S. troops in Saudi Arabia after the war was one of the stated motivations behind the 11 September terrorist attacks,[322] the Khobar Towers bombing, and the date chosen for the 1998 US embassy bombings (7 August)," which was eight years to the day that US troops were sent to Saudi Arabia.[323] Osama bin Laden interpreted the Islamic prophet Muhammad as banning the """"permanent presence of infidels in Arabia"""".[324] In 1996", bin Laden issued a fatwa, calling for US troops to leave Saudi Arabia. In a December 1999 interview with Rahimullah Yusufzai," bin Laden said he felt that Americans were """"too near to Mecca"""" and considered this a provocation to the entire Islamic world.[325]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 On 6 August 1990, after Iraq's invasion of Kuwait, the UN Security Council adopted Resolution 661 which imposed economic sanctions on Iraq, providing for a full trade embargo, excluding medical supplies, food and other items of humanitarian necessity, these to be determined by the council's sanctions committee. From 1991 until 2003, the effects of government policy and sanctions regime led to hyperinflation, widespread poverty and malnutrition.[citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 During the late 1990s, the UN considered relaxing the sanctions imposed because of the hardships suffered by ordinary Iraqis. Studies dispute the number of people who died in south and central Iraq during the years of the sanctions.[326][327][328][329],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The draining of the Qurna Marshes was an irrigation project in Iraq during and immediately after the war, to drain a large area of marshes in the Tigris–Euphrates river system. Formerly covering an area of around 3,000 km2 (1,200 sq mi), the large complex of wetlands were nearly emptied of water, and the local Shi'ite population relocated, following the war and 1991 uprisings. By 2000, the United Nations Environment Programme estimated that 90% of the marshlands had disappeared, causing desertification of over 7,500 square miles (19,000 km2).[citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The draining occurred in Iraq and to a smaller degree in Iran between the 1950s and 1990s to clear large areas of the marshes. Formerly covering an area of around 20,000 km2 (7,700 sq mi), the large complex of wetlands was 90% drained before the 2003 Invasion of Iraq. The marshes are typically divided into three main sub-marshes, the Hawizeh, Central, and Hammar Marshes and all three were drained at different times for different reasons. Initial draining of the Central Marshes was intended to reclaim land for agriculture but later all three marshes would become a tool of war and revenge.[330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Many international organizations such as the UN Human Rights Commission, the Islamic Supreme Council of Iraq, the Wetlands International, and Middle East Watch have described the project as a political attempt to force the Marsh Arabs out of the area through water diversion tactics.[330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 On 23 January, Iraq dumped 400 million US gallons (1,500,000 m3) of crude oil into the Persian Gulf,[332] causing the largest offshore oil spill in history at that time.[331] It was reported as a deliberate natural resources attack to keep US Marines from coming ashore (Missouri and Wisconsin had shelled Failaka Island during the war to reinforce the idea that there would be an amphibious assault attempt).[333] About 30–40% of this came from allied raids on Iraqi coastal targets.[334],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The Kuwaiti oil fires were caused by the Iraqi military setting fire to 700 oil wells as part of a scorched earth policy while retreating from Kuwait in 1991 after conquering the country but being driven out by coalition forces. The fires started in January and February 1991, and the last one was extinguished by November.[335],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The resulting fires burned uncontrollably because of the dangers of sending in firefighting crews. Land mines had been placed in areas around the oil wells, and a military cleaning of the areas was necessary before the fires could be put out. Somewhere around 6 million barrels (950,000 m3) of oil were lost each day. Eventually, privately contracted crews extinguished the fires, at a total cost of US$1.5 billion to Kuwait.[336] By that time, however, the fires had burned for approximately 10 months, causing widespread pollution.[citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The cost of the war to the United States was calculated by the US Congress in April 1992 to be $61.1 billion[337] (equivalent to $119 billion in 2023).[338] About $52 billion of that amount was paid by other countries: $36 billion by Kuwait, Saudi Arabia and other Arab states of the Persian Gulf; $16 billion by Germany and Japan (which sent no combat forces due to their constitutions). About 25% of Saudi Arabia's contribution was paid with in-kind services to the troops, such as food and transportation.[337] US troops represented about 74% of the combined force, and the global cost was therefore higher.[citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Apart from the impact on Arab States of the Persian Gulf, the resulting economic disruptions after the crisis affected many states. The Overseas Development Institute (ODI) undertook a study in 1991 to assess the effects on developing states and the international community's response. A briefing paper finalized on the day that the conflict ended draws on their findings which had two main conclusions: Many developing states were severely affected and while there has been a considerable response to the crisis, the distribution of assistance was highly selective.[339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The ODI factored in elements of """"cost"""" which included oil imports", remittance flows, re-settlement costs, loss of export earnings and tourism. For Egypt, the cost totaled $1 billion, 3% of GDP. Yemen had a cost of $830 million, 10% of GDP, while it cost Jordan $1.8 billion, 32% of GDP.[340][citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 International response to the crisis on developing states came with the channeling of aid through The Gulf Crisis Financial Co-ordination Group. They were 24 states, comprising most of the OECD countries plus some Gulf states: Saudi Arabia, United Arab Emirates, Qatar and Kuwait. The members of this group agreed to disperse $14 billion in development assistance.[citation needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The World Bank responded by speeding up the disbursement of existing project and adjustment loans. The International Monetary Fund adopted two lending facilities – the Enhanced Structural Adjustment Facility (ESAF) and the Compensatory & Contingency Financing Facility (CCFF). The European Community offered $2 billion[clarification needed] in assistance.[339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
